# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
19014.957846 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957846 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957847 |    5) kworker-13086  |   0.951 us    |        }
19014.957847 |    5) kworker-13086  |               |        __const_udelay() {
19014.957848 |    5) kworker-13086  |               |          delay_halt() {
19014.957848 |    5) kworker-13086  |   1.703 us    |            delay_halt_mwaitx();
19014.957850 |    5) kworker-13086  |   2.004 us    |          }
19014.957850 |    5) kworker-13086  |   2.284 us    |        }
19014.957850 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957850 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957851 |    5) kworker-13086  |   0.952 us    |        }
19014.957851 |    5) kworker-13086  |               |        __const_udelay() {
19014.957851 |    5) kworker-13086  |               |          delay_halt() {
19014.957851 |    5) kworker-13086  |   1.633 us    |            delay_halt_mwaitx();
19014.957853 |    5) kworker-13086  |   1.933 us    |          }
19014.957853 |    5) kworker-13086  |   2.215 us    |        }
19014.957853 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957854 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957854 |    5) kworker-13086  |   1.052 us    |        }
19014.957855 |    5) kworker-13086  |               |        __const_udelay() {
19014.957855 |    5) kworker-13086  |               |          delay_halt() {
19014.957855 |    5) kworker-13086  |   1.633 us    |            delay_halt_mwaitx();
19014.957857 |    5) kworker-13086  |   1.934 us    |          }
19014.957857 |    5) kworker-13086  |   2.214 us    |        }
19014.957857 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957857 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957858 |    5) kworker-13086  |   1.041 us    |        }
19014.957858 |    5) kworker-13086  |               |        __const_udelay() {
19014.957858 |    5) kworker-13086  |               |          delay_halt() {
19014.957858 |    5) kworker-13086  |   1.694 us    |            delay_halt_mwaitx();
19014.957860 |    5) kworker-13086  |   1.994 us    |          }
19014.957860 |    5) kworker-13086  |   2.274 us    |        }
19014.957861 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957861 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957862 |    5) kworker-13086  |   0.952 us    |        }
