# tracer: nop
#
# entries-in-buffer/entries-written: 3226/3226   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u48:6-554     [002] .....  2509.759768: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:6-554     [002] .....  2509.759770: amdgpu_device_wreg: 0x15bf, 0x00005d95, 0x00000000
   kworker/u48:6-554     [002] .....  2509.759771: amdgpu_device_wreg: 0x15bf, 0x00005d96, 0x00000000
   kworker/u48:6-554     [002] .....  2509.759772: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:6-554     [002] .....  2509.759774: amdgpu_device_wreg: 0x15bf, 0x00005d95, 0x00000000
   kworker/u48:6-554     [002] .....  2509.759775: amdgpu_device_wreg: 0x15bf, 0x00005d96, 0x00000000
   kworker/u48:6-554     [002] .....  2509.759781: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:6-554     [002] .....  2509.759785: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:6-554     [002] .....  2509.759787: amdgpu_device_wreg: 0x15bf, 0x00005ddd, 0x0001f000
   kworker/u48:6-554     [002] .....  2509.759789: amdgpu_device_wreg: 0x15bf, 0x00005dbf, 0x00155400
   kworker/u48:6-554     [002] .....  2509.759790: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100108
   kworker/u48:6-554     [002] .....  2509.759791: amdgpu_device_wreg: 0x15bf, 0x0000539e, 0x00000000
   kworker/u48:6-554     [002] .....  2509.759794: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00100000
   kworker/u48:6-554     [002] .....  2509.759797: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:6-554     [002] .....  2509.759798: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:6-554     [002] .....  2509.759800: amdgpu_device_wreg: 0x15bf, 0x00005365, 0x03000040
   kworker/u48:6-554     [002] .....  2509.759801: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00000004
   kworker/u48:6-554     [002] .....  2509.759803: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:6-554     [002] .....  2509.759805: amdgpu_device_wreg: 0x15bf, 0x0000536e, 0x00023100
