# tracer: nop
#
# entries-in-buffer/entries-written: 716/716   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u48:1-10321   [006] ..... 13583.767876: amdgpu_device_wreg: 0x15bf, 0x0000a900, 0x0000000c
   kworker/u48:1-10321   [006] ..... 13583.767891: amdgpu_device_wreg: 0x15bf, 0x00003221, 0x00000001
   kworker/u48:1-10321   [006] ..... 13583.767897: amdgpu_device_wreg: 0x15bf, 0x00003218, 0x80000002
   kworker/u48:1-10321   [006] ..... 13583.767898: amdgpu_device_wreg: 0x15bf, 0x00003218, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767898: amdgpu_device_wreg: 0x15bf, 0x0000323f, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767898: amdgpu_device_wreg: 0x15bf, 0x00003240, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767899: amdgpu_device_wreg: 0x15bf, 0x00003213, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767899: amdgpu_device_wreg: 0x15bf, 0x0000a900, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767901: amdgpu_device_wreg: 0x15bf, 0x0000c807, 0x40030010
   kworker/u48:1-10321   [006] ..... 13583.767902: amdgpu_device_wreg: 0x15bf, 0x0000a803, 0x14000000
   kworker/u48:1-10321   [006] ..... 13583.767904: amdgpu_device_wreg: 0x15bf, 0x0000a802, 0x50000000
   kworker/u48:1-10321   [006] ..... 13583.767970: amdgpu_device_wreg: 0x15bf, 0x0000306a, 0x84000000
   kworker/u48:1-10321   [006] ..... 13583.767971: amdgpu_device_wreg: 0x15bf, 0x000028e8, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767971: amdgpu_device_wreg: 0x15bf, 0x000028e9, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767972: amdgpu_device_wreg: 0x15bf, 0x000028ea, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767972: amdgpu_device_wreg: 0x15bf, 0x000028eb, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767973: amdgpu_device_wreg: 0x15bf, 0x000028ec, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767973: amdgpu_device_wreg: 0x15bf, 0x000028ed, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767974: amdgpu_device_wreg: 0x15bf, 0x000028ee, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767974: amdgpu_device_wreg: 0x15bf, 0x000028ef, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767975: amdgpu_device_wreg: 0x15bf, 0x000028f0, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767975: amdgpu_device_wreg: 0x15bf, 0x000028f1, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767976: amdgpu_device_wreg: 0x15bf, 0x000028f2, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767976: amdgpu_device_wreg: 0x15bf, 0x000028f3, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767977: amdgpu_device_wreg: 0x15bf, 0x000028f4, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767977: amdgpu_device_wreg: 0x15bf, 0x000028f5, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767978: amdgpu_device_wreg: 0x15bf, 0x000028f6, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767978: amdgpu_device_wreg: 0x15bf, 0x000028f7, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767980: amdgpu_device_wreg: 0x15bf, 0x000028df, 0x00001818
   kworker/u48:1-10321   [006] ..... 13583.767981: amdgpu_device_wreg: 0x15bf, 0x0000281c, 0x00080e00
   kworker/u48:1-10321   [006] ..... 13583.767981: amdgpu_device_wreg: 0x15bf, 0x0000281e, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767985: amdgpu_device_wreg: 0x15bf, 0x0000112c, 0x00000000
